js_src,is_malign,has_func_charcodeat_count,func_charcodeat_count,has_event_onbeforeunload_count,event_onbeforeunload_count,has_event_onload_count,event_onload_count,has_event_onunload_count,event_onunload_count,has_event_onbeforeload_count,event_onbeforeload_count,has_event_onmouseover_count,event_onmouseover_count,has_func_dispatchevent_count,func_dispatchevent_count,has_func_fireevent_count,func_fireevent_count,has_keyword_function_count,keyword_function_count,has_keyword_wscript_count,keyword_wscript_count,has_func_search_count,func_search_count,has_char_digits_count,char_digits_count,has_char_backslash_count,char_backslash_count,has_char_pipe_count,char_pipe_count,has_char_percent_count,char_percent_count,has_char_left_parenthesis_count,char_left_parenthesis_count,has_char_right_parenthesis_count,char_right_parenthesis_count,has_char_comma_count,char_comma_count,has_char_hash_count,char_hash_count,has_char_plus_count,char_plus_count,has_event_onerror_count,event_onerror_count,has_char_dot_count,char_dot_count,has_char_single_quote_count,char_single_quote_count,has_char_open_bracket_count,char_open_bracket_count,has_char_close_bracket_count,char_close_bracket_count,has_char_open_brace_count,char_open_brace_count,has_char_close_brace_count,char_close_brace_count,has_page_js_files_count,page_js_files_count,has_page_php_files_count,page_php_files_count,has_variables_count,variables_count,has_file_entropy_value,file_entropy_value,has_func_set_attribute_count,func_set_attribute_count,has_keyword_var_count,keyword_var_count,has_func_window_location_count,func_window_location_count,has_func_char_at_count,func_char_at_count,has_func_log_count,func_log_count,has_func_decode_count,func_decode_count,has_func_encode_count,func_encode_count,has_func_tostring_count,func_tostring_count,has_func_math_random_count,func_math_random_count,has_ioc_url_fetch,ioc_url_fetch,has_ioc_new_resource,ioc_new_resource,has_ioc_file_write,ioc_file_write,has_ioc_run,ioc_run,has_ioc_file_delete,ioc_file_delete,has_ioc_file_read,ioc_file_read,has_ioc_reg_read,ioc_reg_read,has_ioc_folder_create,ioc_folder_create
internal_js_0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,14,1,0,1,0,1,0,1,27,1,27,1,2,1,0,1,1,1,0,1,3,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,20,1,4.901285047,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal_js_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal_js_2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,3.78418372,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal_js_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal_js_4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.blogs-de-sexe.com/myscript.js,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.blogs-de-sexe.com/myscript.js,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal_js_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal_js_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal_js_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
